entry_id,entry_date,account,description,debit,credit,reference
LED_KTkQIcvN,07/08/2026,Sales - BookMyShow,BookMyShow Order order_Y7gbtP7,,349,order_Y7gbtP7
LED_CdzzGypu,06/08/2026,Sales - Zomato,Zomato Order order_aAEAw3C,,2499,order_aAEAw3C
LED_D1u7a67h,09/08/2026,Sales - Flipkart,Flipkart Order order_nXv2Rra,,349,order_nXv2Rra
LED_KSsmoJpI,16/08/2026,Sales - AJIO,AJIO Order order_8IRh1E2,,1299,order_8IRh1E2
LED_4HNdc06P,19/08/2026,Sales - Nykaa,Nykaa Order order_hVLXnGB,,2999,order_hVLXnGB
LED_aGzbSHrF,21/08/2026,Sales - Zepto,Zepto Order order_Dcrr1eo,,1999,order_Dcrr1eo
LED_zJ9oQ0O1,01/08/2026,Sales - AJIO,AJIO Order order_yqHBL3T,,4999,order_yqHBL3T
LED_34o3QJq5,13/08/2026,Sales - Zepto,Zepto Order order_fvuP1uR,,18446,order_fvuP1uR
LED_IJ0PHxTX,21/08/2026,Sales - Swiggy,Swiggy Order order_MVmI5BR,,249,order_MVmI5BR
LED_NWBoIxlK,11/08/2026,Sales - ZEPTO,ZEPTO Order order_pIx5F21,,2999,order_pIx5F21
LED_atwqilBI,22/08/2026,Sales - BookMyShow,BookMyShow Order order_ox1ztD4,,16598,order_ox1ztD4
LED_JkxisEdA,19/08/2026,Sales - MakeMyTrip,MakeMyTrip Order order_QO001xt,,22484,order_QO001xt
LED_eppMKmgs,20/08/2026,Sales - CRED,CRED Order order_xjGJXke,,19935,order_xjGJXke
LED_7CRBsQYX,19/08/2026,Sales - Flipkart,Flipkart Order order_NAp0mxD,,1499,order_NAp0mxD
LED_F5QHXw3H,21/08/2026,Sales - Swiggy,Swiggy Order order_nlpUVQi,,1299,order_nlpUVQi
LED_ggnUIQnx,08/08/2026,Sales - RAZORPAY*SWIGGY,RAZORPAY*SWIGGY Order order_467s1XD,,249,order_467s1XD
LED_CmDDBRts,21/08/2026,Sales - MakeMyTrip,MakeMyTrip Order order_M6uLONC,,199,order_M6uLONC
LED_CXNlOyT2,15/08/2026,Sales - Flipkart,Flipkart Order order_2OZM6rQ,,799,order_2OZM6rQ
LED_anrRXJXH,11/08/2026,Sales - Flipkart,Flipkart Order order_WphJeVm,,1499,order_WphJeVm
LED_QFzixlNQ,17/08/2026,Sales - Swiggy,Swiggy Order order_dTGUDWF,,7894,order_dTGUDWF
LED_EitBdwai,04/08/2026,Sales - AJIO,AJIO Order order_rNHu9GC,,199,order_rNHu9GC
LED_s9BvYB9W,04/08/2026,Sales - Blinkit Online,Blinkit Online Order order_ffTYIKI,,2999,order_ffTYIKI
LED_Lk8sJ7F3,09/08/2026,Sales - Cult.fit,Cult.fit Order order_Y08YMNb,,17008,order_Y08YMNb
LED_491h1pSZ,02/08/2026,Sales - RAZORPAY*Urban Company,RAZORPAY*Urban Company Order order_jtu6K2j,,12020,order_jtu6K2j
LED_6w6uaVTT,16/08/2026,Sales - Swiggy,Swiggy Order order_9dm6VVr,,799,order_9dm6VVr
LED_i0W3VcMZ,12/08/2026,Sales - AJIO,AJIO Order order_JRzhbuX,,349,order_JRzhbuX
LED_fwfPOdMT,04/08/2026,Sales - Zomato,Zomato Order order_v7Ojgpk,,999,order_v7Ojgpk
LED_RDofXgws,20/08/2026,Sales - , Order order_dFtCdZe,,4999,order_dFtCdZe
LED_MBn3ihTv,13/08/2026,Sales - RAZORPAY*Cult.fit,RAZORPAY*Cult.fit Order order_OcR9GLw,,2499,order_OcR9GLw
LED_mLlyOWXo,05/08/2026,Sales - Amazon Pvt Ltd,Amazon Pvt Ltd Order order_tOPhRfI,,249,order_tOPhRfI
LED_HkD9eKan,06/08/2026,Sales - BookMyShow,BookMyShow Order order_VZ2cuVi,,199,order_VZ2cuVi
LED_MFzRfHMr,07/08/2026,Sales - BookMyShow,BookMyShow Order order_mQJBVWF,,1499,order_mQJBVWF
LED_dfACLtTT,08/08/2026,Sales - Swiggy India,Swiggy India Order order_Y25zyxx,,249,order_Y25zyxx
LED_2VbYqdSJ,21/08/2026,Sales - Flipkart,Flipkart Order order_j6LAWoh,,299,order_j6LAWoh
LED_d1kjV3Ph,01/08/2026,Sales - Blinkit,Blinkit Order order_GF9IyDN,,1299,order_GF9IyDN
LED_np4tZJhP,19/08/2026,Sales - Blinkit,Blinkit Order order_iS6cmX2,,1999,order_iS6cmX2
LED_wsWTpw89,18/08/2026,Sales - AJIO,AJIO Order order_EE5GXTe,,2999,order_EE5GXTe
LED_Ttm8A78i,20/08/2026,Sales - Myntra,Myntra Order order_XdPzFUj,,399,order_XdPzFUj
