txn_id,value_date,description,credit,debit,reference
BNK_hPE7tyyh,11-08-2026,RAZORPAY*Flipkart,585.96,,RPAY4325887726
BNK_CkPX4KPt,11-08-2026,RAZORPAY*Flipkart,726.92,,RPAY4325887726
BNK_zESBkJXn,04-08-2026,RAZORPAY*,109.12,,RPAY4717261214
BNK_nrWJVEFJ,04-08-2026,RAZORPAY*AJIO,65.17,,RPAY4717261214
BNK_9HUVBnAT,04-08-2026,RAZORPAY*Blinkit,"2,598.33",,RPAY7059376953
BNK_1LAMWYXJ,10-08-2026,RAZORPAY*Cult.fit,"16,597.28",,RPAY1124352982
BNK_JqzCN2fF,16-08-2026,RAZORPAY*Swiggy,699.79,,RPAY8503368512
BNK_0Xy8ZEur,12-08-2026,RAZORPAY*AJIO Pvt Ltd,305.67,,RPAY5673482258
BNK_Ba7mQiOj,04-08-2026,RAZORPAY*Zomato,874.96,,RPAY7417183769
BNK_aDioQaRY,20-08-2026,RAZORPAY*CRED,"4,378.32",,RPAY6946306973
BNK_NPeILkvn,14-08-2026,RAZORPAY*Cult.fit,"2,188.72",,RPAY3567900251
BNK_rfILLWQ0,05-08-2026,RAZORPAY*Amazon Online,218.08,,RPAY3260842187
BNK_Ne3awtx0,06-08-2026,RAZORPAY*BookMyShow,174.29,,RPAY4876877928
BNK_mYHyNZQe,08-08-2026,RAZORPAY*Swiggy,173.80,,RPAY5416031878
BNK_k7GWSkhW,21-08-2026,RAZORPAY*FLIPKART,261.87,,RPAY2963288053
BNK_1pDxj51I,17-08-2026,RAZORPAY*Blinkit,"1,730.81",,RPAY7328203808
BNK_Fcy21Vtf,18-08-2026,RAZORPAY*AJIO,"2,628.32",,RPAY6556684476
BNK_5bHNQauV,20-08-2026,RAZORPAY*Myntra,345.47,,RPAY2881937953
